"X35S_0"	"X35S_3h"	"X35S_8h"	"BRN_0"	"BRN_3h"	"BRN_8h"	"GL2_0"	"GL2_3h"	"GL2_8h"	"GL2GL2_0"	"GL2GL2_3h"	"GL2GL2_8h"	"SCR_0"	"SCR_3h"	"SCR_8h"	"SCRSCR_0"	"SCRSCR_3h"	"SCRSCR_8h"	"SCRGL2_0"	"SCRGL2_3h"	"SCRGL2_8h"	"SHR_0"	"SHR_3h"	"SHR_8h"
"AT5G06970"	466.31	578.415	516.79	642.245	621.18	760.69	1140.405	1375.445	1143.34	675.95	812.775	874.29	707.44	617.575	756.56	481	552.815	552.48	470.55	550.22	508.62	484.5	566.085	629.97
"AT3G09300"	1497.01	1451.545	1118.655	1928.445	1781.895	2167.04	3255.91	3884.78	3835.22	1805.65	2489.48	2377.985	1374.94	1941.81	1596.365	1015.265	1169.005	1207.095	1158.965	1387.72	1370.855	1426.785	1692.535	1590.135
"AT3G15980.4"	433.03	460.365	434.655	663.14	661.845	698.06	842.52	950.5	792.08	560.17	631.75	530.845	519.8	552.225	568.8	431.385	423.585	437.255	442.43	492.01	489.25	485.505	529.9	559.215
"AT1G14290"	2148.62	2140.165	1881.025	2725.445	2756.85	2813.16	3714.22	5164.95	4837.505	2774.22	3802.46	3728.48	2361.04	2631.49	2594.445	2722.78	2847.085	3074.935	1275.12	1807.82	1469.015	2659.015	2656.39	3068.035
"AT4G12730"	11740.04	12270.345	11193.07	15589.185	14258.655	15724.655	18821.54	23617.755	21164.49	16922.115	17983.785	19549	12518.81	16765.885	13813.55	9936.525	11192.31	11273.17	7143.8	8687.78	8082.84	12076.515	13213.56	12996.97
"AT3G55920"	563.335	503.555	540.79	702.03	770.885	674.805	791.065	931.225	864.91	811.33	788.505	836.845	613.79	676.52	733.02	641.72	589.465	661.035	558.835	593.765	555.43	443.535	512.865	643.855
"AT1G61840"	58.72	58.605	34.41	119.4	139.77	121.625	121.52	224.48	207.45	34.04	65.865	64.33	16.915	12.54	12.215	11.455	15.365	10.375	6.8	10.87	6.95	14.91	17.835	15.975
"AT2G02620"	23.55	23.06	21.195	38.885	53.3	51.775	54.47	74.73	90.845	18.74	35.6	58.745	3.14	2.965	3.945	2.495	3.915	6.045	1.36	2.785	3.27	1.43	4.435	4.525
"AT2G40750"	137.03	123.98	200.25	198.435	165.92	175.295	695.695	753.35	842.135	139.925	197.315	236.33	8.765	8.825	11.18	10.565	5.995	7.745	1.275	3.33	8.215	10.065	15.505	17.27
"AT1G69780"	520.14	472.09	413.015	365.535	496.48	362.1	1083.285	1187.135	1051.92	1023.68	989.445	650.28	337.785	536.295	493.84	808.765	902.805	986.885	146.32	267.81	152.48	230.705	312.86	283.65
"AT1G78260.2"	1348.395	1608.415	1354.98	1300.54	1809.135	2423.82	2049.57	3481.355	3521.815	1993.75	3574.23	3130.075	1471.505	2188.16	1943.88	1732.305	2670.93	2734.36	603.355	1211.68	776.955	1287.965	1809.405	1679.275
"AT3G03250"	3058.555	2411.395	2614.905	1935.805	1414.69	2274.83	4796.86	4715.775	4774.87	3534.965	3364.995	3439.79	2420.34	2247.235	2607.58	3429.135	2844.32	3547.905	2264.5	2145.805	2255.58	3514.675	2879.385	3352.78
